,title,isbn,booktype,author,rating,ratingCount,reviewCount,year,genres
0,"The Hunger Games (The Hunger Games, #1)",9780439023481,books.book,https://www.goodreads.com/author/show/153394.Suzanne_Collins,4.33,5759514,163427,2008,young-adult|fiction|science-fiction|dystopia|fantasy|science-fiction
1,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",9780439358071,books.book,https://www.goodreads.com/author/show/1077326.J_K_Rowling,4.49,2171104,36278,2003,fantasy|young-adult|fiction
2,"To Kill a Mockingbird (To Kill a Mockingbird, #1)",null,books.book,https://www.goodreads.com/author/show/1825.Harper_Lee,4.27,3971942,83914,1960,classics|fiction|historical|historical-fiction|academic|school
3,Pride and Prejudice,null,books.book,https://www.goodreads.com/author/show/1265.Jane_Austen,4.25,2604077,57874,1813,classics|fiction|romance
4,"Twilight (Twilight, #1)",9780316015844,books.book,https://www.goodreads.com/author/show/941441.Stephenie_Meyer,3.59,4460110,99364,2005,young-adult|fantasy|romance|paranormal|vampires|fiction|fantasy|paranormal
5,The Book Thief,9780375831003,books.book,https://www.goodreads.com/author/show/11466.Markus_Zusak,4.37,1593905,105085,2005,historical|historical-fiction|fiction|young-adult
6,Animal Farm,9780452284241,books.book,https://www.goodreads.com/author/show/3706.George_Orwell,3.92,2373414,46703,1945,classics|fiction|science-fiction|dystopia|fantasy|literature|academic|school|politics|science-fiction|novels|academic|read-for-school
7,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",9780066238500,books.book,https://www.goodreads.com/author/show/1069006.C_S_Lewis,4.26,458190,9694,1956,fantasy|classics|fiction|young-adult|childrens
8,J.R.R. Tolkien 4-Book Boxed Set,9780345538376,books.book,https://www.goodreads.com/author/show/656983.J_R_R_Tolkien,4.59,102542,1695,1955,fantasy|fiction|classics
9,Gone with the Wind,9780446675536,books.book,https://www.goodreads.com/author/show/11081.Margaret_Mitchell,4.29,1000839,18307,1936,classics|historical|historical-fiction|fiction|romance|historical
10,The Fault in Our Stars,null,books.book,https://www.goodreads.com/author/show/1406384.John_Green,4.23,3068307,149889,2012,young-adult|fiction|romance|contemporary
